target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19119	67	4.70355
evm.model.10.2068	11221	10902	8.36043	1.02929
evm.model.03.2112	13918	13599	63	6.21799
evm.model.03.111	6068	5748.95	2	0.466935
evm.model.01.2715	11760	11441	18	2.11166
evm.model.02.1085	13396	13077	85	8.72423
evm.model.06.1418	7504	7184.95	69	12.8896
evm.model.05.181	34933	34613.9	85	3.29596
evm.model.05.2038	26225	25906	95.3309	4.93911
evm.model.10.1136	22495	22176	84	5.08407
evm.model.06.1594	10718	10399	73	9.42211
evm.model.02.2069	12526	12207	33	3.62845
evm.model.01.3	18155	17836	121	9.1055
novel_model_2271_5bd9a17a.1.5bd9b136	878	558.95	1	2.40127
novel_model_2272_5bd9a17a.2.5bd9b136	1085	765.95	0	0
novel_model_2270_5bd9a17a	1157	837.95	0	0
novel_model_1704_5bd9a17a	1529	1209.95	0	0
evm.model.02.266	396	179	0	0
evm.model.02.43	1794	1474.95	10	9.09991
evm.model.02.3047	1707	1387.95	0	0
novel_model_994_5bd9a17a	1418	1098.95	22.4553	27.4255
novel_model_997_5bd9a17a.2.5bd9b135	1547	1227.95	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1003.95	24.5447	32.814
novel_model_996_5bd9a17a.3.5bd9b135	1178	858.95	5.36034e-05	8.37604e-05
evm.model.05.1111	1194	874.95	0	0
evm.model.07.208	1055	735.95	0	0
evm.model.10.9	988	668.95	16	32.1027
evm.model.02.2874	1731	1411.95	8	7.60476
evm.model.02.2874.1.5bd9b136	1241	921.95	0	0
evm.model.06.1955	696	398.684	2	6.73311
evm.model.03.1605	1305	985.95	0	0
evm.model.02.1964	1233	913.95	1	1.46856
evm.model.10.1123	1200	880.95	0	0
evm.model.10.282.3.5bd9b13d	975	655.95	0	0
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	597.95	0	0
evm.model.10.282.1.5bd9b13d	1050	730.95	0	0
evm.model.10.282.5.5bd9b13d	789	469.95	0	0
evm.model.10.282	1132	812.95	13.2187	21.8243
evm.model.10.282.2.5bd9b13d	886	566.95	0.781301	1.84964
evm.model.10.282.4.5bd9b13d	1412	1092.95	0	0
evm.model.01.1936	240	101.25	0	0
evm.model.01.2877	369	152	0	0
evm.model.09.1347	4602	4282.95	0	0
evm.model.02.1925	4806	4486.95	5.22934	1.56426
evm.model.07.270	1260	940.95	2	2.85284
novel_model_3830_5bd9a17a	2451	2131.95	1	0.629561
evm.model.01.2844	246	107.25	0	0
evm.model.05.556	417	186.867	0	0
evm.model.09.1360	333	154.727	0	0
evm.model.09.1517	4632	4312.95	0	0
novel_model_4177_5bd9a17a	1382	1062.95	65.8243	83.1166
novel_model_4178_5bd9a17a.1.5bd9b139	1280	960.95	0	0
novel_model_4179_5bd9a17a.2.5bd9b139	1517	1197.95	3.1757	3.55807
novel_model_4698_5bd9a17a.2.5bd9b13a	1386	1066.95	0	0
novel_model_4700_5bd9a17a.5.5bd9b13a	1061	741.95	1	1.80901
novel_model_4696_5bd9a17a.4.5bd9b13a	1532	1212.95	0	0
novel_model_4699_5bd9a17a.1.5bd9b13a	1525	1205.95	0	0
novel_model_4697_5bd9a17a.3.5bd9b13a	1473	1153.95	0	0
novel_model_4695_5bd9a17a	1463	1143.95	0	0
evm.model.07.1005	1782	1462.95	2	1.83491
novel_model_740_5bd9a17a	1269	949.95	2.4869	3.51377
novel_model_741_5bd9a17a.1.5bd9b134	1647	1327.95	3.5131	3.55077
evm.model.08.1532	927	607.95	0	0
novel_model_6193_5bd9a17a	879	559.95	2	4.79397
evm.model.01.2454	531	267.294	0	0
evm.model.02.1506	2190	1870.95	14	10.0434
evm.model.07.1130	930	610.95	0	0
evm.model.09.1624	1191	871.95	0	0
evm.model.06.1533	468	237.867	0	0
evm.model.04.1110	678	380.684	0	0
evm.model.07.1463	267	115.444	0	0
evm.model.06.2098	462	231.867	0	0
evm.model.04.1027	1029	709.95	0	0
evm.model.07.224	465	234.867	0	0
evm.model.02.1210	893	573.95	7.26868	16.9979
evm.model.10.593	1326	1006.95	0	0
evm.model.07.1249	1864	1544.95	0	0
evm.model.07.1249.1.5bd9b13c	1797	1477.95	2	1.81629
evm.model.ctgX8.3	810	490.95	0	0
evm.model.05.1899	720	422.684	0	0
evm.model.ctgX2.51	324	145.727	0	0
evm.model.10.568	393	176	0	0
novel_model_2034_5bd9a17a	1139	819.95	1	1.63692
evm.model.08.240	1680	1360.95	74	72.98
evm.model.04.1217	1869	1549.95	0	0
novel_model_4415_5bd9a17a	911	591.95	0	0
novel_model_4418_5bd9a17a.1.5bd9b139	1167	847.95	0	0
novel_model_4422_5bd9a17a.7.5bd9b139	1263	943.95	0	0
novel_model_4421_5bd9a17a.6.5bd9b139	1787	1467.95	0	0
novel_model_4416_5bd9a17a.3.5bd9b139	1129	809.95	18.8568	31.2481
novel_model_4417_5bd9a17a.2.5bd9b139	1134	814.95	0.14321	0.235862
novel_model_4420_5bd9a17a.4.5bd9b139	1317	997.95	0	0
novel_model_4419_5bd9a17a.5.5bd9b139	1738	1418.95	0	0
evm.model.09.83	4257	3937.95	14	4.77169
evm.model.ctgX9.4	621	342.111	0	0
evm.model.07.1620	1056	736.95	6	10.9277
evm.model.04.1330	2082	1762.95	254.104	193.458
novel_model_7239_5bd9a17a	1877	1557.95	11.213	9.66011
evm.model.05.2045	1284	964.95	0	0
novel_model_4945_5bd9a17a	1472	1152.95	16	18.6262
evm.model.08.1636	339	160.727	15	125.261
novel_model_1049_5bd9a17a	1564	1244.95	0	0
novel_model_1381_5bd9a17a	901	581.95	17	39.2083
evm.model.06.742	1305	985.95	0	0
evm.model.08.394	270	118.444	0	0
evm.model.06.315	1489	1169.95	33	37.8583
evm.model.06.952.2.5bd9b13a	2324	2004.95	0	0
evm.model.06.952.3.5bd9b13a	1675	1355.95	0	0
evm.model.06.952.1.5bd9b13a	2298	1978.95	4	2.71294
evm.model.06.952	2384	2064.95	0	0
evm.model.08.1950	1071	751.95	117	208.839
evm.model.01.2671	1173	853.95	42	66.0133
evm.model.07.1875	993	673.95	5.87134	11.693
evm.model.03.447	1050	730.95	0	0
evm.model.05.488	1221	901.95	0	0
novel_model_5047_5bd9a17a.1.5bd9b13a	1291	971.95	0	0
novel_model_5046_5bd9a17a	1702	1382.95	45.7278	44.3801
evm.model.02.607	4431	4111.95	0	0
evm.model.08.1017	1335	1015.95	11	14.5323
evm.model.04.667	390	173	0	0
evm.model.06.162	303	124.727	0	0
evm.model.03.1820	1917	1597.95	0	0
evm.model.05.551	363	146	0	0
novel_model_1871_5bd9a17a	842	522.95	0	0
evm.model.08.1020	1620	1300.95	49	50.5534
evm.model.06.2013	2532	2212.95	73	44.2757
novel_model_1088_5bd9a17a.10.5bd9b135	2266	1946.95	0	0
novel_model_1085_5bd9a17a.7.5bd9b135	1952	1632.95	0	0
novel_model_1078_5bd9a17a	1813	1493.95	48.4124	43.4945
novel_model_1087_5bd9a17a.11.5bd9b135	2281	1961.95	0	0
novel_model_1081_5bd9a17a.4.5bd9b135	1877	1557.95	0	0
novel_model_1086_5bd9a17a.6.5bd9b135	1944	1624.95	0	0
novel_model_1079_5bd9a17a.5.5bd9b135	1888	1568.95	41.8387	35.7918
novel_model_1080_5bd9a17a.1.5bd9b135	1831	1511.95	0	0
novel_model_1083_5bd9a17a.2.5bd9b135	1907	1587.95	0	0
novel_model_1084_5bd9a17a.8.5bd9b135	1806	1486.95	15.7232	14.1925
novel_model_1090_5bd9a17a.12.5bd9b135	2445	2125.95	2.02577	1.27895
novel_model_1089_5bd9a17a.9.5bd9b135	2203	1883.95	0	0
novel_model_1082_5bd9a17a.3.5bd9b135	1830	1510.95	0	0
evm.model.06.765.5.5bd9b13a	1764	1444.95	1.72919	1.60622
evm.model.06.765.1.5bd9b13a.1.5bdae6dc	1622	1302.95	11.2708	11.6103
evm.model.06.765	1685	1365.95	0	0
evm.model.06.765.3.5bd9b13a	1534	1214.95	0	0
evm.model.06.765.1.5bd9b13a	1562	1242.95	0	0
evm.model.06.765.4.5bd9b13a	1416	1096.95	0	0
evm.model.06.765.1.5bd9b13a.3.5bdae6dc	1344	1024.95	0	0
evm.model.06.765.2.5bd9b13a	1575	1255.95	0	0
evm.model.06.765.1.5bd9b13a.2.5bdae6dc	1509	1189.95	0	0
evm.model.02.983	1318	998.95	91.9772	123.581
novel_model_3085_5bd9a17a.3.5bd9b137	1354	1034.95	0	0
novel_model_3087_5bd9a17a.5.5bd9b137	830	510.95	0	0
novel_model_3084_5bd9a17a.2.5bd9b137	1594	1274.95	0	0
novel_model_3082_5bd9a17a	1474	1154.95	0	0
novel_model_3083_5bd9a17a.1.5bd9b137	1491	1171.95	0	0
novel_model_3086_5bd9a17a.4.5bd9b137	998	678.95	0	0
evm.model.01.253	2123	1803.95	97	72.1708
evm.model.10.527	1360	1040.95	0	0
evm.model.10.716	618	339.111	0	0
evm.model.01.2573.1.5bdae6e4	2371	2051.95	0	0
evm.model.01.2573	1932	1612.95	21	17.4748
evm.model.01.2573.2.5bdae6e4	1777	1457.95	0	0
novel_model_7123_5bd9a17a	1058	738.95	14.7218	26.7399
novel_model_7124_5bd9a17a.1.5bd9b13d	2178	1858.95	13.2782	9.58708
evm.model.08.848	876	556.95	0	0
evm.model.04.382	1350	1030.95	0	0
novel_model_4000_5bd9a17a.2.5bd9b139	693	395.684	0	0
novel_model_3999_5bd9a17a.1.5bd9b139	1808	1488.95	8.99997	8.11289
novel_model_3998_5bd9a17a	1832	1512.95	2.80081e-05	2.4847e-05
evm.model.05.1109	792	472.95	0	0
evm.model.02.2308	1902	1582.95	7	5.93534
evm.model.06.1992	915	595.95	0	0
evm.model.03.487	510	279.867	0	0
evm.model.03.1358	1113	793.95	0	0
evm.model.02.2429	282	130.444	71	730.546
evm.model.06.12	270	118.444	0	0
evm.model.05.1857	1768	1448.95	2	1.85264
evm.model.ctgX4.4	439	208.867	0	0
evm.model.06.394	354	161.167	0	0
evm.model.01.1200	1265	945.95	4	5.67553
evm.model.09.1343	936	616.95	14	30.4574
evm.model.01.262	1257	937.95	34	48.6535
novel_model_6630_5bd9a17a	718	420.684	1	3.1905
evm.model.08.760	279	127.444	0	0
evm.model.02.1408	393	176	0	0
evm.model.07.103	708	410.684	1	3.26818
evm.model.09.1354	993	673.95	44	87.6273
evm.model.04.1391	1599	1279.95	0	0
evm.model.04.259	1206	886.95	32	48.4245
evm.model.07.352	1105	785.95	39	66.6015
evm.model.02.2796	1179	859.95	0	0
novel_model_5765_5bd9a17a	1644	1324.95	0	0
evm.model.02.2001	1802	1482.95	2	1.81016
evm.model.02.2001.1.5bdae6e2	1960	1640.95	0	0
evm.model.01.589	1515	1195.95	2	2.24456
evm.model.04.1847	291	139.444	0	0
evm.model.04.1425	2065	1745.95	23.0742	17.7382
evm.model.04.1425.1.5bd9b138	1838	1518.95	8.92577	7.88709
evm.model.03.556	558	279.111	0	0
evm.model.10.698	2789	2469.95	3	1.63023
evm.model.07.1694	732	434.684	0	0
novel_model_2166_5bd9a17a	1280	960.95	7.13642	9.96768
novel_model_2167_5bd9a17a.1.5bd9b136	1442	1122.95	13.8636	16.5703
evm.model.ctgX47.3	1833	1513.95	17.138	15.1937
evm.model.ctgX47.3.1.5bd9b13d	4210	3890.95	8.55897	2.95243
evm.model.05.886	279	127.444	0	0
evm.model.02.2065	1953	1633.95	0	0
evm.model.02.2065.1.5bd9b136	1449	1129.95	11	13.0662
novel_model_6569_5bd9a17a	777	457.95	0	0
evm.model.06.1432	1347	1027.95	1.00427	1.31128
evm.model.05.1191	2379	2059.95	116	75.5816
novel_model_7212_5bd9a17a	1177	857.95	30.4598	47.6518
novel_model_7213_5bd9a17a.1.5bd9b13d	1008	688.95	10.5402	20.5342
evm.model.09.1315	1569	1249.95	0	0
evm.model.10.657	1438	1118.95	1	1.19951
evm.model.08.1622	648	350.684	0	0
evm.model.01.2570	582	303.111	1	4.42805
evm.model.04.484	687	389.684	0	0
evm.model.07.351	1476	1156.95	3	3.48034
evm.model.09.1395	3345	3025.95	3	1.33068
evm.model.02.802	2547	2227.95	2	1.20487
evm.model.10.1668	678	380.684	0	0
evm.model.04.2391	1509	1189.95	1	1.12794
novel_model_63_5bd9a17a	751	431.95	5.39025	16.749
evm.model.06.1951	1158	838.95	67	107.19
evm.model.03.595	1560	1240.95	16	17.3053
evm.model.02.1077	375	158	0	0
evm.model.06.119.1.5bd9b139	2034	1714.95	17.3227	13.5575
evm.model.06.119	1737	1417.95	57.6773	54.5957
evm.model.05.103.2.5bdae6d8	1757	1437.95	0	0
evm.model.05.103	2356	2036.95	0	0
evm.model.05.103.1.5bd9b139	1069	749.95	0	0
evm.model.05.103.3.5bdae6d8	2018	1698.95	0	0
evm.model.05.103.1.5bdae6d8	1755	1435.95	0	0
novel_model_1458_5bd9a17a.1.5bd9b135	732	434.684	1.13877	3.51621
novel_model_1457_5bd9a17a	2652	2332.95	95.8612	55.1508
novel_model_1459_5bd9a17a.3.5bd9b135	2174	1854.95	0	0
