target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19124.5	73	7.43177
evm.model.10.2068	11221	10907.5	1.02551	0.183052
evm.model.03.2112	13918	13604.5	68	9.73165
evm.model.03.111	6068	5754.46	6	2.03004
evm.model.01.2715	11760	11446.5	14	2.38131
evm.model.02.1085	13396	13082.5	64	9.52466
evm.model.06.1418	7504	7190.46	85	23.0155
evm.model.05.181	34933	34619.5	95	5.34272
evm.model.05.2038	26225	25911.5	78.5805	5.90448
evm.model.10.1136	22495	22181.5	130	11.4107
evm.model.06.1594	10718	10404.5	62	11.6019
evm.model.02.2069	12526	12212.5	47	7.49296
evm.model.01.3	18155	17841.5	96	10.4761
novel_model_2271_5bd9a17a.1.5bd9b136	878	564.462	0	0
novel_model_2272_5bd9a17a.2.5bd9b136	1085	771.462	0	0
novel_model_2270_5bd9a17a	1157	843.462	0	0
novel_model_1704_5bd9a17a	1529	1215.46	0	0
evm.model.02.266	396	258.75	0	0
evm.model.02.43	1794	1480.46	19	24.9871
evm.model.02.3047	1707	1393.46	0	0
novel_model_994_5bd9a17a	1418	1104.46	11	19.391
novel_model_997_5bd9a17a.2.5bd9b135	1547	1233.46	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1009.46	21	40.5031
novel_model_996_5bd9a17a.3.5bd9b135	1178	864.462	0	0
evm.model.05.1111	1194	880.462	0	0
evm.model.07.208	1055	741.462	2	5.2517
evm.model.10.9	988	674.462	13	37.5271
evm.model.02.2874	1731	1417.46	5.78556	7.94681
evm.model.02.2874.1.5bd9b136	1241	927.462	1.21444	2.54941
evm.model.06.1955	696	421.333	1	4.62097
evm.model.03.1605	1305	991.462	0	0
evm.model.02.1964	1233	919.462	0	0
evm.model.10.1123	1200	886.462	0	0
evm.model.10.282.3.5bd9b13d	975	661.462	0	0
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	603.462	0	0
evm.model.10.282.1.5bd9b13d	1050	736.462	0	0
evm.model.10.282.5.5bd9b13d	789	475.462	0	0
evm.model.10.282	1132	818.462	9.98124	23.7435
evm.model.10.282.2.5bd9b13d	886	572.462	4.01876	13.668
evm.model.10.282.4.5bd9b13d	1412	1098.46	0	0
evm.model.01.1936	240	166	0	0
evm.model.01.2877	369	267.143	0	0
evm.model.09.1347	4602	4288.46	0	0
evm.model.02.1925	4806	4492.46	2.64705	1.14719
evm.model.07.270	1260	946.462	6	12.3426
novel_model_3830_5bd9a17a	2451	2137.46	2	1.82176
evm.model.01.2844	246	172	0	0
