target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19322	27	3.8587
evm.model.10.2068	11221	11105	0	0
evm.model.03.2112	13918	13802	27	5.40196
evm.model.03.111	6068	5952	4	1.85578
evm.model.01.2715	11760	11644	10	2.37152
evm.model.02.1085	13396	13280	13	2.70318
evm.model.06.1418	7504	7388	21	7.84914
evm.model.05.181	34933	34817	26	2.06211
evm.model.05.2038	26225	26109	32	3.38446
evm.model.10.1136	22495	22379	25	3.08481
evm.model.06.1594	10718	10602	26	6.77197
evm.model.02.2069	12526	12410	7	1.5576
evm.model.01.3	18155	18039	52	7.96013
novel_model_2271_5bd9a17a.1.5bd9b136	878	762	0	0
novel_model_2272_5bd9a17a.2.5bd9b136	1085	969	0	0
novel_model_2270_5bd9a17a	1157	1041	0	0
novel_model_1704_5bd9a17a	1529	1413	0	0
evm.model.02.266	396	280	0	0
evm.model.02.43	1794	1678	2	3.2913
evm.model.02.3047	1707	1591	0	0
novel_model_994_5bd9a17a	1418	1302	4	8.48357
novel_model_997_5bd9a17a.2.5bd9b135	1547	1431	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1207	3	6.86347
novel_model_996_5bd9a17a.3.5bd9b135	1178	1062	0	0
evm.model.05.1111	1194	1078	0	0
evm.model.07.208	1055	939	2	5.88158
evm.model.10.9	988	872	24	76.0019
evm.model.02.2874	1731	1615	5	8.54923
evm.model.02.2874.1.5bd9b136	1241	1125	0	0
evm.model.06.1955	696	580	1	4.76104
evm.model.03.1605	1305	1189	0	0
evm.model.02.1964	1233	1117	0	0
evm.model.10.1123	1200	1084	0	0
evm.model.10.282.3.5bd9b13d	975	859	0	0
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	801	0	0
evm.model.10.282.1.5bd9b13d	1050	934	0	0
evm.model.10.282.5.5bd9b13d	789	673	0.0764059	0.313503
evm.model.10.282	1132	1016	5.92359	16.0998
evm.model.10.282.2.5bd9b13d	886	770	0	0
evm.model.10.282.4.5bd9b13d	1412	1296	0	0
evm.model.01.1936	240	124	0	0
evm.model.01.2877	369	253	0	0
evm.model.09.1347	4602	4486	0	0
evm.model.02.1925	4806	4690	2.70092	1.59026
evm.model.07.270	1260	1144	0	0
novel_model_3830_5bd9a17a	2451	2335	0	0
evm.model.01.2844	246	130	0	0
evm.model.05.556	417	301	0	0
evm.model.09.1360	333	217	0	0
evm.model.09.1517	4632	4516	0	0
novel_model_4177_5bd9a17a	1382	1266	24.4438	53.3169
novel_model_4178_5bd9a17a.1.5bd9b139	1280	1164	0	0
novel_model_4179_5bd9a17a.2.5bd9b139	1517	1401	3.55619	7.00932
novel_model_4698_5bd9a17a.2.5bd9b13a	1386	1270	0	0
novel_model_4700_5bd9a17a.5.5bd9b13a	1061	945	0	0
novel_model_4696_5bd9a17a.4.5bd9b13a	1532	1416	0	0
novel_model_4699_5bd9a17a.1.5bd9b13a	1525	1409	0	0
novel_model_4697_5bd9a17a.3.5bd9b13a	1473	1357	0	0
novel_model_4695_5bd9a17a	1463	1347	0	0
evm.model.07.1005	1782	1666	0	0
novel_model_740_5bd9a17a	1269	1153	5	11.9749
novel_model_741_5bd9a17a.1.5bd9b134	1647	1531	0	0
evm.model.08.1532	927	811	0	0
novel_model_6193_5bd9a17a	879	763	0	0
evm.model.01.2454	531	415	0	0
evm.model.02.1506	2190	2074	0	0
evm.model.07.1130	930	814	0	0
evm.model.09.1624	1191	1075	0	0
evm.model.06.1533	468	352	0	0
evm.model.04.1110	678	562	0	0
evm.model.07.1463	267	151	0	0
evm.model.06.2098	462	346	0	0
evm.model.04.1027	1029	913	0	0
evm.model.07.224	465	349	0	0
evm.model.02.1210	893	777	0	0
evm.model.10.593	1326	1210	0	0
evm.model.07.1249	1864	1748	2	3.1595
evm.model.07.1249.1.5bd9b13c	1797	1681	0	0
evm.model.ctgX8.3	810	694	0	0
evm.model.05.1899	720	604	0	0
evm.model.ctgX2.51	324	208	0	0
evm.model.10.568	393	277	0	0
novel_model_2034_5bd9a17a	1139	1023	0	0
evm.model.08.240	1680	1564	26	45.9056
evm.model.04.1217	1869	1753	0	0
novel_model_4415_5bd9a17a	911	795	0	0
novel_model_4418_5bd9a17a.1.5bd9b139	1167	1051	3.14922	8.27428
novel_model_4422_5bd9a17a.7.5bd9b139	1263	1147	0	0
novel_model_4421_5bd9a17a.6.5bd9b139	1787	1671	0	0
novel_model_4416_5bd9a17a.3.5bd9b139	1129	1013	6.85078	18.675
novel_model_4417_5bd9a17a.2.5bd9b139	1134	1018	0	0
novel_model_4420_5bd9a17a.4.5bd9b139	1317	1201	0	0
novel_model_4419_5bd9a17a.5.5bd9b139	1738	1622	0	0
evm.model.09.83	4257	4141	7	4.66791
evm.model.ctgX9.4	621	505	0	0
evm.model.07.1620	1056	940	5	14.6883
evm.model.04.1330	2082	1966	48.8672	68.6378
novel_model_7239_5bd9a17a	1877	1761	0	0
evm.model.05.2045	1284	1168	0	0
novel_model_4945_5bd9a17a	1472	1356	7	14.255
evm.model.08.1636	339	223	4	49.5319
novel_model_1049_5bd9a17a	1564	1448	0	0
novel_model_1381_5bd9a17a	901	785	2	7.03542
evm.model.06.742	1305	1189	0	0
evm.model.08.394	270	154	0	0
evm.model.06.315	1489	1373	4	8.04487
evm.model.06.952.2.5bd9b13a	2324	2208	0	0
evm.model.06.952.3.5bd9b13a	1675	1559	0	0
evm.model.06.952.1.5bd9b13a	2298	2182	0	0
evm.model.06.952	2384	2268	0	0
evm.model.08.1950	1071	955	1	2.89152
evm.model.01.2671	1173	1057	15	39.1873
evm.model.07.1875	993	877	2	6.29738
evm.model.03.447	1050	934	0	0
evm.model.05.488	1221	1105	0	0
novel_model_5047_5bd9a17a.1.5bd9b13a	1291	1175	3.09846	7.28177
novel_model_5046_5bd9a17a	1702	1586	8.02813	13.9779
evm.model.02.607	4431	4315	0	0
evm.model.08.1017	1335	1219	1	2.2653
evm.model.04.667	390	274	0	0
evm.model.06.162	303	187	0	0
evm.model.03.1820	1917	1801	0	0
evm.model.05.551	363	247	0	0
novel_model_1871_5bd9a17a	842	726	0	0
evm.model.08.1020	1620	1504	10	18.3604
evm.model.06.2013	2532	2416	17	19.4304
novel_model_1088_5bd9a17a.10.5bd9b135	2266	2150	0	0
novel_model_1085_5bd9a17a.7.5bd9b135	1952	1836	0	0
novel_model_1078_5bd9a17a	1813	1697	1.51703	2.46854
novel_model_1087_5bd9a17a.11.5bd9b135	2281	2165	3.25037	4.14576
novel_model_1081_5bd9a17a.4.5bd9b135	1877	1761	0	0
novel_model_1086_5bd9a17a.6.5bd9b135	1944	1828	0	0
novel_model_1079_5bd9a17a.5.5bd9b135	1888	1772	11.3879	17.7464
novel_model_1080_5bd9a17a.1.5bd9b135	1831	1715	0	0
