target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19236.7	28	4.71286
evm.model.10.2068	11221	11019.7	5	1.46912
evm.model.03.2112	13918	13716.7	29	6.84551
evm.model.03.111	6068	5866.72	4	2.20761
evm.model.01.2715	11760	11558.7	16	4.48196
evm.model.02.1085	13396	13194.7	30.1025	7.38686
evm.model.06.1418	7504	7302.72	33	14.6314
evm.model.05.181	34933	34731.7	33	3.07642
evm.model.05.2038	26225	26023.7	56.2053	6.99304
evm.model.10.1136	22495	22293.7	42	6.09993
evm.model.06.1594	10718	10516.7	44	13.5466
evm.model.02.2069	12526	12324.7	17	4.46611
evm.model.01.3	18155	17953.7	64	11.5421
novel_model_2271_5bd9a17a.1.5bd9b136	878	676.722	0	0
novel_model_2272_5bd9a17a.2.5bd9b136	1085	883.722	0	0
novel_model_2270_5bd9a17a	1157	955.722	0	0
novel_model_1704_5bd9a17a	1529	1327.72	1	2.43866
evm.model.02.266	396	257.8	0	0
evm.model.02.43	1794	1592.72	6	12.1975
evm.model.02.3047	1707	1505.72	0	0
novel_model_994_5bd9a17a	1418	1216.72	1	2.66113
novel_model_997_5bd9a17a.2.5bd9b135	1547	1345.72	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1121.72	2	5.77301
novel_model_996_5bd9a17a.3.5bd9b135	1178	976.722	0	0
evm.model.05.1111	1194	992.722	0	0
evm.model.07.208	1055	853.722	2	7.58528
evm.model.10.9	988	786.722	4	16.4625
evm.model.02.2874	1731	1529.72	0	0
evm.model.02.2874.1.5bd9b136	1241	1039.72	1	3.11416
evm.model.06.1955	696	494.722	2	13.0896
evm.model.03.1605	1305	1103.72	0	0
evm.model.02.1964	1233	1031.72	0	0
evm.model.10.1123	1200	998.722	0	0
evm.model.10.282.3.5bd9b13d	975	773.722	10	41.8478
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	715.722	0	0
evm.model.10.282.1.5bd9b13d	1050	848.722	0	0
evm.model.10.282.5.5bd9b13d	789	587.722	0	0
evm.model.10.282	1132	930.722	0	0
evm.model.10.282.2.5bd9b13d	886	684.722	0	0
evm.model.10.282.4.5bd9b13d	1412	1210.72	0	0
evm.model.01.1936	240	130.923	0	0
evm.model.01.2877	369	247.714	0	0
evm.model.09.1347	4602	4400.72	0	0
