target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19110.4	31	4.65362
evm.model.10.2068	11221	10893.4	5	1.31676
evm.model.03.2112	13918	13590.4	26	5.48833
evm.model.03.111	6068	5740.38	0	0
evm.model.01.2715	11760	11432.4	6	1.50561
evm.model.02.1085	13396	13068.4	29	6.36612
evm.model.06.1418	7504	7176.38	39	15.5904
evm.model.05.181	34933	34605.4	44	3.6476
evm.model.05.2038	26225	25897.4	46	5.09566
evm.model.10.1136	22495	22167.4	42	5.43542
evm.model.06.1594	10718	10390.4	66	18.2226
evm.model.02.2069	12526	12198.4	20	4.70355
evm.model.01.3	18155	17827.4	92	14.8047
novel_model_2271_5bd9a17a.1.5bd9b136	878	550.375	1.99729	10.4107
novel_model_2272_5bd9a17a.2.5bd9b136	1085	757.375	0	0
novel_model_2270_5bd9a17a	1157	829.375	0	0
novel_model_1704_5bd9a17a	1529	1201.38	0	0
evm.model.02.266	396	204.8	0	0
evm.model.02.43	1794	1466.38	6	11.7383
evm.model.02.3047	1707	1379.38	0	0
novel_model_994_5bd9a17a	1418	1090.38	2.31019	6.07814
novel_model_997_5bd9a17a.2.5bd9b135	1547	1219.38	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	995.375	4.68981	13.5166
novel_model_996_5bd9a17a.3.5bd9b135	1178	850.375	0	0
evm.model.05.1111	1194	866.375	0	0
evm.model.07.208	1055	727.375	1	3.94403
evm.model.10.9	988	660.375	11	47.7859
evm.model.02.2874	1731	1403.38	2.86403	5.85466
evm.model.02.2874.1.5bd9b136	1241	913.375	0.135969	0.427061
evm.model.06.1955	696	368.375	0	0
evm.model.03.1605	1305	977.375	0	0
evm.model.02.1964	1233	905.375	0	0
evm.model.10.1123	1200	872.375	0	0
evm.model.10.282.3.5bd9b13d	975	647.375	0	0
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	589.375	0.00871173	0.0424044
evm.model.10.282.1.5bd9b13d	1050	722.375	3.96078	15.7295
evm.model.10.282.5.5bd9b13d	789	461.375	0	0
evm.model.10.282	1132	804.375	3.03051	10.8082
evm.model.10.282.2.5bd9b13d	886	558.375	0	0
evm.model.10.282.4.5bd9b13d	1412	1084.38	0	0
evm.model.01.1936	240	143	0	0
evm.model.01.2877	369	177.8	0	0
evm.model.09.1347	4602	4274.38	0	0
evm.model.02.1925	4806	4478.38	5.36015	3.43364
evm.model.07.270	1260	932.375	2	6.15372
novel_model_3830_5bd9a17a	2451	2123.38	0	0
evm.model.01.2844	246	149	0	0
evm.model.05.556	417	225.8	0	0
evm.model.09.1360	333	177.5	0	0
evm.model.09.1517	4632	4304.38	0	0
novel_model_4177_5bd9a17a	1382	1054.38	18.0273	49.0493
novel_model_4178_5bd9a17a.1.5bd9b139	1280	952.375	0	0
novel_model_4179_5bd9a17a.2.5bd9b139	1517	1189.38	1.97275	4.75829
novel_model_4698_5bd9a17a.2.5bd9b13a	1386	1058.38	0	0
novel_model_4700_5bd9a17a.5.5bd9b13a	1061	733.375	0	0
novel_model_4696_5bd9a17a.4.5bd9b13a	1532	1204.38	0	0
novel_model_4699_5bd9a17a.1.5bd9b13a	1525	1197.38	0	0
