target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19293.7	54	5.81319
evm.model.10.2068	11221	11076.7	4.57479	0.85782
evm.model.03.2112	13918	13773.7	38	5.73019
evm.model.03.111	6068	5923.7	3	1.05188
evm.model.01.2715	11760	11615.7	16	2.86095
evm.model.02.1085	13396	13251.7	32	5.0155
evm.model.06.1418	7504	7359.7	57	16.0861
evm.model.05.181	34933	34788.7	56	3.34338
evm.model.05.2038	26225	26080.7	52	4.14114
evm.model.10.1136	22495	22350.7	58	5.3898
evm.model.06.1594	10718	10573.7	52	10.2144
evm.model.02.2069	12526	12381.7	15	2.51621
evm.model.01.3	18155	18010.7	66	7.61113
novel_model_2271_5bd9a17a.1.5bd9b136	878	733.7	0	0
novel_model_2272_5bd9a17a.2.5bd9b136	1085	940.7	0	0
novel_model_2270_5bd9a17a	1157	1012.7	0	0
novel_model_1704_5bd9a17a	1529	1384.7	0	0
evm.model.02.266	396	251.7	0	0
evm.model.02.43	1794	1649.7	11	13.8492
evm.model.02.3047	1707	1562.7	0	0
novel_model_994_5bd9a17a	1418	1273.7	8.76046	14.2855
novel_model_997_5bd9a17a.2.5bd9b135	1547	1402.7	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1178.7	0	0
novel_model_996_5bd9a17a.3.5bd9b135	1178	1033.7	2.23954	4.49988
evm.model.05.1111	1194	1049.7	0	0
evm.model.07.208	1055	910.7	0	0
evm.model.10.9	988	843.7	18	44.3119
evm.model.02.2874	1731	1586.7	7	9.16303
evm.model.02.2874.1.5bd9b136	1241	1096.7	0	0
evm.model.06.1955	696	551.7	2	7.52945
evm.model.03.1605	1305	1160.7	0	0
evm.model.02.1964	1233	1088.7	0	0
evm.model.10.1123	1200	1055.7	0	0
evm.model.10.282.3.5bd9b13d	975	830.7	0	0
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	772.7	0	0
evm.model.10.282.1.5bd9b13d	1050	905.7	5	11.4663
evm.model.10.282.5.5bd9b13d	789	644.7	0	0
evm.model.10.282	1132	987.7	0	0
evm.model.10.282.2.5bd9b13d	886	741.7	0	0
evm.model.10.282.4.5bd9b13d	1412	1267.7	0	0
evm.model.01.1936	240	113.778	0	0
evm.model.01.2877	369	224.7	0	0
