geneID	FL21	FL22	FL23	FL41	FL42	FL43	TR21	TR22	TR23	TR41	TR42	TR43
novel_gene_1279_5bd9a17a	1.5706014908008097	1.3497203804664974	2.0491008704348874	2.247488933891274	3.0598387153624245	0.7616982263108307	-1.5509182167154327	0.2826073650548308	0.006637704566114699	-0.6221963551793803	-0.7811633065080831	-2.336615183566795
novel_gene_1809_5bd9a17a	-0.49768731065092486	1.3497203804664974	-1.5814721956700426	-0.8129064795596807	0.026990913130223938	-1.283662825341579	1.5402938839774603	2.1881721948456705	2.6174609160880964	3.0284949316398553	2.046232978881396	1.990565532345255
novel_gene_1896_5bd9a17a	2.2314155279941064	2.879274566231031	2.963817562480351	1.9406003797495004	2.2805515134915706	3.2104431671186178	0.8247624051636546	0.5694091677569076	1.2432892636548876	-0.6221963551793803	-0.8417369974846236	-2.393410640251894
novel_gene_1927_5bd9a17a	5.738303903442181	5.256358192644774	5.538218619196027	5.338892387294579	4.964874414684984	4.351790078097458	4.6722122525461725	4.5540525610032665	3.8586972311424583	1.6489048323525701	1.98676102192099	2.8654738506557496
novel_gene_2178_5bd9a17a	-0.49521498804860703	1.3555478896757034	3.198609301980499	-0.8118785300620317	0.026990913130223938	-1.2832962180601966	3.240508848903033	3.758506000050821	2.8693637493852604	4.069173442069461	3.530262523167138	3.5429216511745056
novel_gene_221_5bd9a17a	5.050372266221722	5.099452599796034	4.8119698510157685	3.9153524581908976	3.3300512534190414	5.045728241746947	2.7918613237298433	1.4636525717137765	2.3852899290408054	2.786914231210356	3.1930383434028635	3.2110635012271644
novel_gene_2309_5bd9a17a	4.40407513145993	4.857427314280906	4.55186382814042	3.683156593395045	3.7325755465576105	4.564579231668184	3.8605762567900386	3.6127652714372975	3.051910372928822	2.529623664290561	2.9249421048141424	2.288189655263651
novel_gene_2417_5bd9a17a	6.057517249907861	6.734951061158473	6.19917374884435	5.159708822491517	6.327550679615643	5.502005563656644	4.104339504317177	2.949361842548305	3.8436165723412428	3.231640419488841	2.9889135132032174	4.098506824523532
novel_gene_2443_5bd9a17a	3.924825853668993	4.112005847611643	3.2151941369155304	3.0784655069055225	2.418669668833856	2.7961906763386954	1.7834717165380027	2.4262890113936457	2.311909573196203	-0.6221963551793803	0.828018242784597	-0.14478054334255464
novel_gene_2615_5bd9a17a	5.4633001404496735	4.888040485574165	5.493280442927475	5.465948084067837	4.4979282112456795	4.632677885869876	4.483120973547954	3.4388075433431022	2.8782413819868187	3.5708019045587545	4.155107665510472	2.169350573353942
novel_gene_2842_5bd9a17a	4.571134495005176	4.338881871507695	4.816749103149225	2.736876333350942	3.2969545775153692	4.226711517660005	3.212828973364033	2.854805776786373	1.6690688335695822	0.9177207039598023	2.113497477070368	2.2669166061454726
novel_gene_3062_5bd9a17a	5.294518979514247	5.407460112360443	6.385070689644009	3.9202843096984403	6.418726772074146	5.681871263538845	3.5252962294813948	3.7873684061729853	1.8537207002712166	3.7321198864081855	3.881389571738314	3.097561165932699
novel_gene_3109_5bd9a17a	-0.46326927720593425	1.3959158046669624	-1.5814722273247805	3.996067218636886	0.17167357734158922	3.6313689862216494	3.9101362066725205	3.954337356885451	3.8372678212857054	4.644049456466527	4.631031736581171	3.7154998379848703
novel_gene_3186_5bd9a17a	4.9893307269572	5.196527093264834	5.6811794197656456	5.824139081939517	6.024279969796537	6.25577860345698	6.189836374191036	6.252637737147823	6.734250924686407	7.131902946049224	7.088448173525293	7.243824146488852
novel_gene_3616_5bd9a17a	-0.49768731065092486	1.3497203804664974	4.039923980398638	-0.8129064795596807	0.026990913130223938	-1.283662825341579	4.04681553195765	3.285359798715046	2.452486245812411	4.30760982141414	4.122502799395321	4.10466245365939
novel_gene_3672_5bd9a17a	4.755744994224712	1.3497203804664974	2.8488837221274093	-0.8129064795596807	0.026990913130223938	-1.283662825341579	2.868043944258028	3.98986432330789	3.834107559701516	4.822282662848457	4.04536781777981	4.52569571633787
novel_gene_3787_5bd9a17a	-0.49768731065092486	3.6139958964878196	-1.5814722273247805	-0.8129064795596807	0.026990913130223938	2.251386501507706	4.0284508941316854	3.8581130119763207	4.393819861700635	3.185492938138999	2.935319175113654	3.9136982525233273
novel_gene_3892_5bd9a17a	3.6577024639522904	4.317728172684157	3.8809162463847935	3.406414842821526	3.2745333772246146	2.8923626422795095	3.5558014458042573	2.891873009682867	1.7016547571343674	-0.6221963551793803	-0.8417369974846236	1.2288545176832977
novel_gene_3936_5bd9a17a	3.8781138755844866	4.679672684791508	3.7146484468386527	4.285597412615575	0.026990913130223938	3.0976294534499083	-1.5509182167154327	1.0729969824826235	1.6200987210963391	-0.6221963551793803	-0.8417369974846236	5.181030295309755e-4
novel_gene_481_5bd9a17a	5.013312812469369	4.062592804399597	4.9662905330085785	5.484064806708613	4.171818045554077	4.850375305601477	6.059258145790664	6.388867815405231	6.109828622855204	6.601614515400662	5.846468320919581	6.23521329483144
novel_gene_533_5bd9a17a	2.8985152648143124	3.1945466163758547	3.191183424657401	1.4713310857644504	2.0352443423831907	1.4012588842719271	1.7421739751368206	-1.8154396687989638	0.3845134032208403	-0.6221963551793803	-0.8417369974846236	-0.022823401745943606
novel_gene_671_5bd9a17a	3.9117920727617093	3.1384134255639804	4.268038678121461	1.314535543422006	2.583712305169673	0.6255729329209679	0.5353108436282015	1.9627803351121895	-0.94129821571239	-0.6221963551793803	-0.8417369974846236	-1.9660106904984973
novel_gene_894_5bd9a17a	8.865169457566756	8.98650400954762	5.8558343382048665	9.021837734002023	10.243581878383377	11.342371396680758	5.974545555942027	6.813689251764434	5.726236695390695	7.03374987946988	5.835739894399927	6.127689295268147
